year,Simpsons_Diversity_Index
1970,0.9396397815584961
1971,0.9328399205549083
1972,0.9277819109363376
1973,0.9332799499805297
1974,0.9430025593057935
1975,0.9336094500539163
1976,0.929678852138317
1977,0.9378158311245018
1978,0.9283726433603583
1979,0.9386137628348092
1980,0.950251954461564
1981,0.9462608172520709
1982,0.9505978965032057
1983,0.9493217405305318
1984,0.9560975405756919
1985,0.9722958471222994
1986,0.9747828160378822
1987,0.9678369612856099
1988,0.9722039679640356
1989,0.9707700849896073
1990,0.9694308893893093
1991,0.9737754010806137
1992,0.9750658105323822
1993,0.9769593786961446
1994,0.9763294216411601
1995,0.9794505690656105
1996,0.9797635759402961
1997,0.9819917034061023
1998,0.9813116578391018
1999,0.982885683612827
2000,0.9809476997541832
2001,0.9800947384026069
2002,0.9823049186390532
2004,0.9837960457763912
2005,0.9846935279854396
2006,0.9852546682147629
2007,0.9852846160755794
2008,0.9850455657781507
2009,0.9856172775192813
2010,0.985642464357909
2011,0.9853270711589969
2012,0.9848375376845577
2013,0.9863942599309996
2014,0.9852007585587682
2015,0.9863603946455849
2016,0.9869444155520628
2017,0.9864903693455569
2018,0.9874208932106088
2019,0.9876840950747745
